ts_code,symbol,name,area,industry,market,list_date
561510.SH,561510,中药ETF华泰柏瑞,,T+1交易,ETF,20220804
159632.SZ,159632,纳斯达克ETF,,T+0交易,ETF,20220803
159616.SZ,159616,农牧ETF,,T+1交易,ETF,20220808
562000.SH,562000,中证A100ETF基金,,T+1交易,ETF,20220801
562390.SH,562390,中药50ETF,,T+1交易,ETF,20220728
159647.SZ,159647,中药ETF,,T+1交易,ETF,20220728
159620.SZ,159620,500成长ETF,,T+1交易,ETF,20220805
159641.SZ,159641,双碳ETF,,T+1交易,ETF,20220722
159640.SZ,159640,碳中和龙头ETF,,T+1交易,ETF,20220721
159642.SZ,159642,碳中和100ETF,,T+1交易,ETF,20220721
560060.SH,560060,碳中和ETF,,T+1交易,ETF,20220721
561190.SH,561190,双碳ETF,,T+1交易,ETF,20220719
560550.SH,560550,碳中和ETF龙头,,T+1交易,ETF,20220719
562990.SH,562990,碳中和ETF易方达,,T+1交易,ETF,20220719
159639.SZ,159639,碳中和ETF南方,,T+1交易,ETF,20220719
513280.SH,513280,恒生生物科技ETF,,T+0交易,ETF,20220718
513220.SH,513220,中概互联ETF,,T+1交易,ETF,20220715
513120.SH,513120,港股创新药ETF,,T+0交易,ETF,20220712
561700.SH,561700,电力ETF基金,,T+1交易,ETF,20220715
159636.SZ,159636,港股通科技30ETF,,T+0交易,ETF,20220720
561160.SH,561160,锂电池ETF,,T+1交易,ETF,20220708
562350.SH,562350,电力指数ETF,,T+1交易,ETF,20220712
159628.SZ,159628,国证2000ETF,,T+1交易,ETF,20220718
159635.SZ,159635,基建50ETF,,T+1交易,ETF,20220712
159615.SZ,159615,恒生生物科技ETF,,T+0交易,ETF,20220628
159609.SZ,159609,光伏龙头ETF,,T+1交易,ETF,20220708
560650.SH,560650,核心50ETF,,T+1交易,ETF,20220627
560990.SH,560990,中金科技先锋ETF,,T+1交易,ETF,20220627
159617.SZ,159617,500价值ETF,,T+1交易,ETF,20220630
159603.SZ,159603,双创龙头ETF,,T+1交易,ETF,20220608
560900.SH,560900,创新药企ETF,,T+1交易,ETF,20220602
159612.SZ,159612,标普500ETF,,T+0交易,ETF,20220520
517990.SH,517990,医药ETF沪港深,,T+1交易,ETF,20220519
159797.SZ,159797,医疗器械ETF基金,,T+1交易,ETF,20220516
517850.SH,517850,张江ETF,,T+1交易,ETF,20220516
159798.SZ,159798,消费ETF易方达,,T+1交易,ETF,20220511
513380.SH,513380,恒生科技ETF龙头,,T+0交易,ETF,20220512
561560.SH,561560,电力ETF,,T+1交易,ETF,20220516
159625.SZ,159625,绿色电力ETF,,T+1交易,ETF,20220429
513530.SH,513530,港股通红利ETF,,T+0交易,ETF,20220425
159618.SZ,159618,光伏ETF指数基金,,T+1交易,ETF,20220422
517760.SH,517760,消费TOPETF,,T+1交易,ETF,20220419
560880.SH,560880,家电ETF龙头,,T+1交易,ETF,20220412
159831.SZ,159831,上海金ETF嘉实,,T+1交易,ETF,20220407
159833.SZ,159833,上海金基金ETF,,T+1交易,ETF,20220329
517900.SH,517900,银行AH优选ETF,,T+1交易,ETF,20220325
513070.SH,513070,港股消费ETF易方达,,T+0交易,ETF,20220324
562520.SH,562520,中证1000成长ETF,,T+1交易,ETF,20220322
517780.SH,517780,红300ETF,,T+1交易,ETF,20220318
159776.SZ,159776,港股通医药ETF,,T+0交易,ETF,20220325
159787.SZ,159787,建材ETF易方达,,T+1交易,ETF,20220315
517500.SH,517500,游戏沪港深ETF,,T+1交易,ETF,20220315
560600.SH,560600,医药创新ETF,,T+1交易,ETF,20220315
159796.SZ,159796,电池50ETF,,T+1交易,ETF,20220314
513320.SH,513320,恒生新经济ETF,,T+0交易,ETF,20220321
159834.SZ,159834,金ETF,,T+1交易,ETF,20220316
513960.SH,513960,港股通消费ETF,,T+0交易,ETF,20220318
159832.SZ,159832,平安金ETF,,T+1交易,ETF,20220318
159791.SZ,159791,300ESGETF,,T+1交易,ETF,20220308
159788.SZ,159788,港股通100ETF,,T+0交易,ETF,20220302
159769.SZ,159769,消费电子龙头ETF,,T+1交易,ETF,20220303
159619.SZ,159619,基建ETF,,T+1交易,ETF,20220218
513770.SH,513770,港股互联网ETF,,T+0交易,ETF,20220218
159768.SZ,159768,房地产ETF,,T+1交易,ETF,20220216
159795.SZ,159795,智能汽车ETF基金,,T+1交易,ETF,20220214
560100.SH,560100,中证500增强ETF,,T+1交易,ETF,20220216
159750.SZ,159750,港股科技50ETF,,T+0交易,ETF,20220214
561120.SH,561120,家电ETF,,T+1交易,ETF,20220215
513150.SH,513150,港股通科技ETF华泰柏瑞,,T+0交易,ETF,20220211
159778.SZ,159778,工业互联ETF,,T+1交易,ETF,20220217
561100.SH,561100,消费电子ETF富国,,T+1交易,ETF,20220208
517550.SH,517550,消费ETF沪港深,,T+1交易,ETF,20220208
159613.SZ,159613,信息安全ETF,,T+1交易,ETF,20220127
513020.SH,513020,港股科技ETF,,T+0交易,ETF,20220208
513200.SH,513200,港股通医药ETF,,T+0交易,ETF,20220211
159738.SZ,159738,云计算ETF华泰柏瑞,,T+1交易,ETF,20220128
513160.SH,513160,港股科技30ETF,,T+0交易,ETF,20220209
562950.SH,562950,消费电子ETF易方达,,T+1交易,ETF,20220120
513230.SH,513230,港股消费ETF,,T+0交易,ETF,20220124
159775.SZ,159775,新能源车电池ETF,,T+1交易,ETF,20220124
516530.SH,516530,物流快递ETF,,T+1交易,ETF,20220117
517270.SH,517270,沪港深科技TOPETF,,T+1交易,ETF,20220112
562910.SH,562910,高端制造ETF,,T+1交易,ETF,20220110
516810.SH,516810,农业50ETF,,T+1交易,ETF,20220111
159611.SZ,159611,电力ETF,,T+1交易,ETF,20220107
159743.SZ,159743,湖北ETF,,T+1交易,ETF,20220111
159728.SZ,159728,在线消费ETF,,T+1交易,ETF,20220111
560800.SH,560800,数字经济ETF,,T+1交易,ETF,20220107
562510.SH,562510,旅游ETF,,T+1交易,ETF,20211230
562300.SH,562300,碳中和ETF基金,,T+1交易,ETF,20220105
159758.SZ,159758,红利质量ETF,,T+1交易,ETF,20211228
562500.SH,562500,机器人ETF,,T+1交易,ETF,20211229
517090.SH,517090,央企共赢ETF,,T+1交易,ETF,20211228
159719.SZ,159719,国企共赢ETF,,T+1交易,ETF,20211228
513890.SH,513890,恒生科技HKETF,,T+0交易,ETF,20220121
517180.SH,517180,中国国企ETF,,T+1交易,ETF,20211228
159606.SZ,159606,中证500成长ETF,,T+1交易,ETF,20211229
159711.SZ,159711,港股通ETF,,T+0交易,ETF,20211228
159718.SZ,159718,港股医药ETF,,T+0交易,ETF,20211228
159701.SZ,159701,物联网ETF招商,,T+1交易,ETF,20211223
159608.SZ,159608,稀有金属ETF,,T+1交易,ETF,20211223
516350.SH,516350,芯片ETF易方达,,T+1交易,ETF,20211223
159730.SZ,159730,龙头家电ETF,,T+1交易,ETF,20211224
159610.SZ,159610,500ETF增强,,T+1交易,ETF,20220110
159751.SZ,159751,港股科技ETF,,T+0交易,ETF,20211228
517390.SH,517390,云计算ETF沪港深,,T+1交易,ETF,20211223
159706.SZ,159706,深证100ETF华安,,T+1交易,ETF,20211220
516690.SH,516690,化工产业ETF,,T+1交易,ETF,20211221
159760.SZ,159760,医疗健康ETF泰康,,T+1交易,ETF,20211220
561990.SH,561990,沪深300增强ETF,,T+1交易,ETF,20211210
562900.SH,562900,农业ETF易方达,,T+1交易,ETF,20211213
561550.SH,561550,500增强ETF,,T+1交易,ETF,20211210
